window,throughput
0,1000
1,1000
2,1000
3,1000
4,1000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
26,1000
27,1000
28,1000
29,1000
30,380
31,470
32,480
33,440
34,460
35,420
36,470
37,460
38,470
39,410
40,464
41,446
42,460
43,468
44,412
45,470
46,470
47,450
48,470
49,410
50,450
51,470
52,470
53,430
54,450
55,450
56,450
57,471
58,459
59,430
60,486
61,454
62,450
63,440
64,411
65,479
66,460
67,450
68,450
69,450
70,430
71,477
72,453
73,440
74,460
75,410
76,480
77,460
78,460
79,450
80,460
81,410
82,470
83,450
84,470
85,454
86,426
87,460
88,460
89,581
90,3799
91,1000
92,1000
93,1000
94,1000
95,1000
96,1000
97,1000
98,1000
99,1000
100,1000
101,1000
102,1000
103,1000
104,1000
105,1000
106,1000
107,1000
108,1000
109,1000
110,1000
111,1000
112,1000
113,1000
114,1000
115,1000
116,1000
117,1000
118,1000
119,1000
120,1000
121,1000
122,1000
123,1000
124,1000
125,1000
126,1000
127,1000
128,1000
129,1000
130,1000
131,1000
132,1000
133,1000
134,1000
135,1000
136,1000
137,1000
138,1000
139,1000
140,1000
141,1000
142,1000
143,1000
144,1000
145,1000
146,1000
147,1000
148,1000
149,1000
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0

